categoria,estacao,preco,desconto,tendencia,margem,historico_vendas,unidades
Sweater,Outono,18.6,0,0,0.4,78,63
Calças,Verão,127.6,0,1,0.65,41,44
Sweater,Outono,98.89,0,0,0.61,51,55
Saia,Primavera,143.76,0,1,0.28,64,58
T-shirt,Inverno,140.87,30,1,0.6,9,18
Sweater,Primavera,65.06,10,0,0.51,21,13
Sweater,Verão,113.53,10,0,0.45,1,1
Calças,Primavera,143.79,50,0,0.22,45,61
Saia,Verão,116.89,0,1,0.37,89,69
Saia,Verão,73.04,10,1,0.57,92,91
Sweater,Outono,96.68,20,0,0.45,55,60
Calças,Outono,99.99,10,0,0.36,63,46
Calças,Verão,35.22,0,1,0.35,41,47
Saia,Inverno,43.71,0,0,0.27,8,7
Sweater,Inverno,53.08,30,0,0.63,65,90
Saia,Inverno,21.33,30,1,0.34,12,13
Saia,Outono,10.54,10,0,0.46,19,11
Casaco,Primavera,132.17,0,0,0.51,26,19
Vestido,Verão,138.41,10,0,0.39,85,82
Calças,Outono,148.01,20,0,0.35,54,53
Sweater,Inverno,64.25,10,0,0.48,67,75
Calças,Verão,93.5,10,0,0.37,17,39
Calças,Verão,122.78,0,1,0.44,49,50
Saia,Inverno,70.03,0,0,0.36,1,5
Calças,Inverno,129.98,30,0,0.52,48,48
Casaco,Primavera,82.19,10,0,0.25,10,25
Vestido,Verão,38.98,30,0,0.36,100,97
Saia,Outono,120.46,0,0,0.33,30,25
Sweater,Inverno,140.0,20,0,0.32,90,77
T-shirt,Primavera,120.86,20,0,0.23,57,67
T-shirt,Inverno,91.58,0,0,0.52,15,4
T-shirt,Outono,44.83,10,0,0.26,40,45
Casaco,Primavera,63.98,10,1,0.54,20,30
T-shirt,Primavera,111.46,20,1,0.34,66,78
Vestido,Verão,104.19,0,0,0.33,97,74
Casaco,Primavera,73.95,20,0,0.31,24,21
T-shirt,Outono,120.87,10,0,0.37,49,38
Calças,Verão,24.08,0,0,0.59,29,41
Saia,Verão,61.35,0,1,0.63,88,87
T-shirt,Inverno,128.75,20,0,0.29,10,17
Calças,Primavera,86.63,0,0,0.34,37,43
Casaco,Verão,12.24,50,0,0.47,11,14
Casaco,Inverno,14.93,20,1,0.27,86,106
T-shirt,Primavera,54.27,20,0,0.5,63,55
Casaco,Primavera,62.22,0,0,0.62,11,14
T-shirt,Outono,128.62,0,1,0.35,52,47
Calças,Primavera,11.23,0,0,0.22,60,44
Casaco,Inverno,26.9,50,0,0.4,95,101
T-shirt,Inverno,139.31,50,0,0.31,7,19
Calças,Inverno,143.64,30,0,0.35,51,47
T-shirt,Primavera,129.07,20,0,0.49,51,73
Saia,Verão,113.93,0,0,0.33,65,52
Vestido,Outono,131.18,10,0,0.21,33,15
Calças,Primavera,106.84,20,0,0.37,62,39
T-shirt,Inverno,60.36,10,1,0.4,22,13
Vestido,Verão,106.48,30,1,0.39,65,115
Sweater,Primavera,18.71,20,0,0.38,27,33
Saia,Verão,34.59,10,1,0.64,69,82
Calças,Inverno,77.93,0,1,0.41,56,55
Sweater,Primavera,117.22,0,0,0.21,25,21
Vestido,Outono,50.64,10,0,0.47,31,16
T-shirt,Primavera,119.93,10,1,0.23,73,70
T-shirt,Inverno,46.78,10,0,0.63,28,30
Calças,Primavera,64.92,10,1,0.36,38,66
Sweater,Outono,46.22,0,1,0.48,77,80
Calças,Verão,141.93,20,0,0.44,39,42
Calças,Primavera,143.82,0,1,0.24,35,51
Saia,Verão,22.68,20,0,0.58,80,75
Vestido,Verão,121.53,0,1,0.28,90,92
Sweater,Outono,81.55,10,1,0.46,72,68
Casaco,Inverno,91.63,20,0,0.24,86,83
Sweater,Inverno,145.34,50,0,0.36,89,96
Casaco,Verão,83.65,20,0,0.53,6,6
T-shirt,Outono,54.19,10,0,0.29,35,42
Calças,Outono,90.72,50,0,0.51,56,70
Calças,Verão,78.89,50,0,0.38,41,58
Vestido,Outono,28.73,50,0,0.29,35,59
Casaco,Verão,50.56,0,0,0.39,6,1
Sweater,Inverno,132.02,10,0,0.34,75,65
T-shirt,Inverno,22.81,20,0,0.49,21,14
Calças,Primavera,118.88,0,0,0.59,55,53
Calças,Primavera,65.55,10,0,0.2,54,52
Saia,Inverno,86.56,20,0,0.21,13,9
Casaco,Primavera,17.38,10,0,0.33,15,14
Sweater,Verão,52.25,30,0,0.4,17,12
T-shirt,Verão,122.95,0,1,0.24,92,101
Calças,Outono,106.83,20,0,0.25,45,61
T-shirt,Inverno,24.94,10,1,0.57,18,21
Sweater,Primavera,142.02,10,1,0.52,14,31
Saia,Verão,57.73,50,0,0.33,91,98
Sweater,Verão,13.03,0,0,0.6,1,9
T-shirt,Primavera,115.25,10,0,0.24,55,59
T-shirt,Verão,74.91,20,1,0.32,83,121
T-shirt,Outono,76.9,0,0,0.5,37,27
Sweater,Outono,101.77,0,0,0.59,61,38
Saia,Verão,103.91,20,0,0.39,78,76
Saia,Outono,36.95,0,1,0.57,11,21
T-shirt,Outono,105.73,20,1,0.59,37,48
T-shirt,Inverno,27.48,10,0,0.29,12,21
Vestido,Inverno,145.32,10,0,0.58,23,16
Calças,Inverno,49.73,20,0,0.54,53,49
T-shirt,Verão,56.0,10,0,0.55,78,89
Sweater,Primavera,79.61,50,0,0.21,27,30
Vestido,Inverno,42.95,10,1,0.3,12,31
Vestido,Primavera,45.47,30,0,0.36,90,84
Saia,Outono,33.16,0,1,0.61,18,36
Casaco,Outono,133.02,0,1,0.29,60,50
Saia,Inverno,36.63,10,0,0.23,18,1
Calças,Outono,121.38,0,0,0.49,54,39
Sweater,Verão,104.8,20,0,0.32,13,10
Vestido,Primavera,69.47,0,0,0.2,58,69
Calças,Outono,134.19,0,0,0.59,60,29
Sweater,Outono,20.96,10,0,0.4,70,74
Calças,Primavera,48.0,0,0,0.36,49,51
Casaco,Verão,74.08,0,1,0.62,10,12
Sweater,Primavera,91.14,30,0,0.2,27,25
T-shirt,Inverno,43.15,0,1,0.48,21,22
T-shirt,Verão,83.04,0,1,0.29,77,97
Vestido,Verão,82.04,20,1,0.26,78,118
Calças,Inverno,79.54,20,0,0.52,53,46
Saia,Verão,19.9,0,0,0.65,66,72
Vestido,Inverno,93.36,30,0,0.47,5,13
Casaco,Verão,100.12,0,0,0.36,15,11
T-shirt,Outono,129.22,30,0,0.54,24,53
Calças,Verão,115.08,20,0,0.6,35,39
Casaco,Inverno,43.14,10,1,0.39,73,105
T-shirt,Outono,108.16,0,1,0.52,32,41
Calças,Primavera,131.65,30,0,0.47,51,54
Sweater,Primavera,45.05,20,0,0.42,35,29
Calças,Primavera,97.21,10,1,0.3,45,59
Vestido,Verão,68.65,10,0,0.64,98,68
Vestido,Verão,145.22,0,0,0.31,100,81
Saia,Verão,24.06,10,0,0.38,61,71
Calças,Verão,128.39,10,0,0.29,43,36
Vestido,Verão,47.64,50,1,0.38,117,144
T-shirt,Primavera,97.16,0,0,0.55,73,51
Sweater,Outono,118.06,10,1,0.61,43,69
Sweater,Outono,129.02,0,1,0.22,63,73
Sweater,Verão,12.38,50,0,0.26,11,14
Saia,Primavera,57.83,50,1,0.52,56,87
T-shirt,Inverno,39.43,0,1,0.44,27,16
T-shirt,Outono,100.03,20,0,0.32,32,35
Casaco,Outono,38.91,20,1,0.43,54,78
Saia,Primavera,10.09,50,1,0.54,35,84
Calças,Primavera,144.52,30,0,0.24,50,50
Calças,Primavera,63.91,10,0,0.33,48,44
Saia,Verão,91.38,0,0,0.41,68,45
Sweater,Outono,121.56,0,1,0.35,59,72
Saia,Verão,90.19,0,1,0.42,61,74
Saia,Outono,52.71,0,0,0.34,23,9
Sweater,Inverno,51.79,20,0,0.33,52,79
T-shirt,Verão,20.73,20,0,0.42,81,99
Saia,Verão,91.68,10,1,0.51,56,90
Vestido,Outono,49.45,0,0,0.31,26,19
Vestido,Primavera,55.01,0,0,0.61,64,60
Sweater,Verão,83.93,0,0,0.37,13,14
Sweater,Outono,26.12,10,0,0.29,67,58
Casaco,Outono,99.37,20,0,0.58,59,55
Saia,Outono,119.64,0,0,0.42,27,25
Casaco,Outono,17.05,0,0,0.21,56,57
Sweater,Primavera,31.67,0,0,0.37,6,19
Vestido,Outono,17.83,0,0,0.48,23,37
Sweater,Verão,88.62,0,0,0.34,8,7
Casaco,Verão,13.08,20,1,0.33,11,8
Sweater,Verão,149.98,0,0,0.26,12,13
Calças,Outono,117.42,30,0,0.34,67,63
Saia,Inverno,44.09,30,0,0.32,7,11
Saia,Verão,60.63,10,1,0.37,52,80
T-shirt,Outono,79.06,0,0,0.37,46,30
Vestido,Outono,135.16,30,0,0.44,39,44
Saia,Verão,11.48,0,0,0.6,56,60
Casaco,Outono,15.21,30,0,0.65,81,48
Saia,Primavera,74.69,30,0,0.59,60,69
Saia,Primavera,126.98,50,1,0.48,59,89
Saia,Outono,81.24,0,0,0.4,21,15
Calças,Verão,52.41,20,1,0.52,43,57
Sweater,Outono,108.3,0,0,0.52,39,49
Sweater,Primavera,62.67,0,0,0.56,35,24
Saia,Primavera,57.91,0,0,0.34,53,57
Saia,Primavera,20.74,10,0,0.5,56,58
T-shirt,Primavera,147.05,0,0,0.39,46,41
Sweater,Inverno,136.04,20,0,0.5,83,76
Sweater,Primavera,147.2,10,1,0.2,25,27
Calças,Verão,145.58,10,0,0.63,43,31
T-shirt,Verão,75.77,10,0,0.36,84,87
Casaco,Primavera,57.37,30,1,0.29,21,32
Calças,Outono,24.87,0,0,0.49,66,61
Sweater,Primavera,47.26,20,0,0.49,22,28
Casaco,Inverno,88.6,20,0,0.61,89,82
Calças,Inverno,144.43,20,0,0.21,54,46
Casaco,Inverno,129.92,0,0,0.39,76,68
Sweater,Verão,134.24,0,0,0.46,3,14
T-shirt,Inverno,79.01,0,1,0.31,21,19
Casaco,Primavera,63.01,50,1,0.52,28,23
Sweater,Outono,30.16,50,0,0.39,50,80
Calças,Primavera,14.6,10,0,0.23,59,49
T-shirt,Inverno,106.75,30,1,0.42,19,32
Sweater,Outono,142.52,20,0,0.4,81,64
Casaco,Primavera,97.08,10,1,0.53,11,10
Sweater,Inverno,78.79,50,0,0.39,73,100
Sweater,Outono,40.48,50,0,0.37,49,75
Sweater,Outono,21.21,10,0,0.24,70,65
Vestido,Verão,139.24,0,1,0.21,71,100
Calças,Outono,147.31,0,0,0.3,60,51
Saia,Primavera,87.65,30,1,0.2,50,68
Saia,Outono,74.39,10,0,0.56,30,11
T-shirt,Primavera,88.28,10,0,0.4,73,63
Casaco,Outono,116.54,20,0,0.22,53,53
Sweater,Primavera,36.59,20,0,0.5,24,34
T-shirt,Verão,33.72,10,1,0.57,75,108
Vestido,Primavera,102.7,30,1,0.43,79,88
Saia,Verão,44.98,0,0,0.51,53,58
Sweater,Inverno,45.28,30,0,0.44,85,85
T-shirt,Verão,26.34,0,0,0.62,83,83
Saia,Primavera,15.09,0,1,0.29,66,68
Sweater,Primavera,101.26,20,1,0.64,21,27
Calças,Outono,71.34,20,0,0.62,66,53
Saia,Primavera,66.99,20,0,0.47,60,52
Saia,Inverno,111.41,0,1,0.39,1,1
Calças,Inverno,91.98,10,0,0.23,43,52
Vestido,Verão,64.33,20,0,0.23,115,93
Sweater,Primavera,100.49,30,0,0.57,29,39
Sweater,Verão,16.08,0,1,0.54,24,21
Sweater,Outono,51.64,20,0,0.56,59,59
Calças,Inverno,110.74,0,0,0.37,42,35
Sweater,Primavera,121.79,0,0,0.3,5,18
Calças,Inverno,28.26,0,0,0.52,58,42
Vestido,Primavera,134.44,20,0,0.46,80,67
Calças,Verão,76.37,0,0,0.39,40,40
Saia,Verão,134.39,10,0,0.54,88,66
Calças,Primavera,133.51,10,1,0.65,55,51
Casaco,Primavera,34.58,0,1,0.41,29,35
Saia,Outono,146.15,10,0,0.43,18,14
Saia,Inverno,122.94,0,0,0.56,1,8
T-shirt,Outono,87.33,10,0,0.38,31,46
Calças,Verão,27.49,0,0,0.32,46,44
Vestido,Primavera,70.66,20,1,0.39,74,86
Sweater,Outono,11.8,20,0,0.26,51,77
Calças,Verão,146.53,50,0,0.56,37,41
Saia,Inverno,140.42,0,0,0.61,8,1
Vestido,Outono,32.32,50,1,0.28,20,36
Casaco,Primavera,93.86,0,0,0.62,33,7
Sweater,Primavera,137.34,10,0,0.61,31,18
Saia,Primavera,35.15,10,1,0.43,30,74
Vestido,Primavera,76.96,0,0,0.52,64,61
Vestido,Verão,38.96,0,0,0.43,81,59
Sweater,Outono,122.94,0,0,0.39,44,52
Sweater,Primavera,48.37,20,0,0.61,12,32
Casaco,Inverno,104.13,10,0,0.57,97,73
Casaco,Inverno,86.92,20,0,0.33,92,92
Casaco,Verão,28.03,30,0,0.34,1,10
Calças,Primavera,131.4,20,0,0.45,54,47
Vestido,Outono,12.82,20,0,0.4,17,40
Vestido,Primavera,50.99,0,0,0.34,103,63
Sweater,Primavera,129.06,10,0,0.23,31,26
Casaco,Outono,33.45,0,0,0.26,74,55
T-shirt,Verão,55.6,10,1,0.22,110,115
Saia,Outono,58.83,20,0,0.6,39,24
T-shirt,Outono,102.59,0,0,0.51,44,31
Casaco,Verão,39.15,0,1,0.33,17,12
T-shirt,Primavera,21.0,0,1,0.45,68,87
Vestido,Inverno,147.81,0,0,0.5,29,27
Casaco,Outono,127.06,0,0,0.44,55,55
T-shirt,Verão,140.59,0,0,0.55,102,66
Saia,Primavera,52.38,10,0,0.41,83,45
Calças,Verão,74.42,0,0,0.4,30,31
Calças,Verão,31.68,0,0,0.39,42,33
T-shirt,Inverno,90.36,10,0,0.53,15,27
Casaco,Verão,100.73,0,0,0.48,10,12
T-shirt,Outono,59.94,10,1,0.22,24,53
Calças,Primavera,44.26,30,0,0.52,52,55
Casaco,Primavera,137.13,20,0,0.51,29,21
Calças,Verão,77.48,0,0,0.35,46,27
Sweater,Verão,32.71,10,1,0.59,5,13
Vestido,Outono,28.56,20,0,0.62,25,37
Saia,Primavera,96.49,20,0,0.63,72,52
Vestido,Verão,74.65,0,0,0.53,95,82
T-shirt,Inverno,17.28,30,0,0.32,24,24
Vestido,Primavera,114.96,0,0,0.65,79,45
T-shirt,Inverno,67.34,20,1,0.3,11,33
T-shirt,Verão,94.71,10,0,0.43,76,91
T-shirt,Primavera,117.26,30,1,0.37,41,78
T-shirt,Outono,35.7,0,0,0.37,36,36
Saia,Inverno,129.6,20,0,0.25,8,8
Sweater,Primavera,28.42,0,1,0.64,28,29
Saia,Outono,16.45,10,0,0.41,29,32
Calças,Inverno,119.14,0,0,0.51,57,38
Calças,Primavera,123.74,30,1,0.32,63,59
Casaco,Inverno,16.14,20,0,0.32,63,80
Sweater,Inverno,59.7,0,1,0.49,63,83
Sweater,Primavera,23.24,20,0,0.46,21,22
T-shirt,Verão,129.93,30,1,0.45,83,120
T-shirt,Primavera,99.99,10,1,0.49,45,74
Saia,Primavera,103.8,0,0,0.52,45,42
Calças,Outono,117.9,0,0,0.5,62,47
T-shirt,Verão,42.56,10,0,0.29,109,102
Vestido,Inverno,90.29,0,1,0.62,3,9
Casaco,Outono,37.31,50,0,0.43,56,60
Vestido,Verão,27.21,10,0,0.55,89,81
T-shirt,Primavera,110.34,20,0,0.32,55,58
Sweater,Primavera,79.05,10,0,0.61,22,24
Calças,Primavera,26.93,0,0,0.38,51,43
Sweater,Verão,127.79,10,0,0.33,11,9
Saia,Inverno,123.44,10,0,0.23,10,14
T-shirt,Primavera,19.18,20,0,0.38,60,60
Calças,Inverno,34.6,10,0,0.4,43,56
Calças,Outono,52.67,0,0,0.52,41,55
Saia,Inverno,75.68,0,0,0.34,1,14
Vestido,Inverno,37.08,0,0,0.6,5,4
Saia,Primavera,99.5,0,0,0.49,54,59
Casaco,Primavera,126.7,0,1,0.41,14,20
Casaco,Outono,66.66,0,0,0.42,49,53
T-shirt,Primavera,131.59,20,1,0.51,44,65
T-shirt,Inverno,65.76,10,0,0.21,9,15
Calças,Primavera,71.53,10,0,0.51,48,50
Casaco,Outono,25.31,0,0,0.46,61,55
Casaco,Inverno,126.61,0,0,0.45,83,60
Calças,Primavera,140.26,20,1,0.21,47,65
Casaco,Verão,43.49,20,0,0.37,24,15
Sweater,Primavera,95.78,10,0,0.49,21,15
Saia,Outono,37.4,20,1,0.33,26,44
T-shirt,Verão,144.59,10,0,0.62,95,72
Casaco,Inverno,75.08,10,0,0.28,91,81
Sweater,Outono,98.32,0,0,0.38,52,55
Casaco,Verão,23.17,50,0,0.52,1,9
Casaco,Primavera,78.33,10,1,0.37,32,33
Casaco,Primavera,63.61,0,1,0.47,20,23
Vestido,Verão,149.64,0,0,0.28,85,76
T-shirt,Outono,36.31,10,0,0.3,25,36
Casaco,Primavera,54.88,20,1,0.4,13,27
Vestido,Primavera,81.88,20,1,0.4,83,105
T-shirt,Inverno,55.58,50,0,0.22,14,27
Sweater,Verão,73.0,0,0,0.32,9,18
Casaco,Primavera,54.74,10,0,0.27,20,25
T-shirt,Inverno,110.29,20,0,0.49,24,23
T-shirt,Verão,60.05,0,0,0.51,115,79
Saia,Outono,133.6,10,0,0.46,47,29
Vestido,Primavera,79.89,0,0,0.48,93,67
Vestido,Outono,93.02,30,0,0.39,20,25
T-shirt,Primavera,115.11,10,0,0.22,57,59
Vestido,Outono,127.71,0,0,0.31,31,25
Calças,Inverno,140.32,0,1,0.61,40,46
Vestido,Outono,122.91,0,1,0.37,29,41
Calças,Outono,111.78,10,0,0.5,39,38
Casaco,Inverno,11.92,30,0,0.4,93,104
Calças,Primavera,103.76,50,0,0.45,38,57
Vestido,Inverno,131.34,50,0,0.55,4,26
Sweater,Primavera,130.11,0,1,0.3,36,32
Saia,Primavera,140.57,10,0,0.49,42,36
Sweater,Verão,80.04,20,0,0.32,16,12
T-shirt,Outono,30.57,30,0,0.28,33,55
Calças,Primavera,54.57,0,1,0.31,47,61
T-shirt,Outono,24.48,10,0,0.43,21,44
T-shirt,Verão,67.66,20,0,0.59,115,84
T-shirt,Inverno,38.07,10,0,0.59,32,15
Sweater,Inverno,63.63,30,0,0.4,66,84
Vestido,Verão,79.16,0,0,0.34,86,84
Vestido,Primavera,68.96,10,0,0.26,54,59
T-shirt,Outono,93.96,20,1,0.35,31,48
T-shirt,Inverno,68.24,20,0,0.43,33,22
Vestido,Verão,54.32,10,0,0.43,93,62
Casaco,Outono,108.85,10,0,0.6,51,43
Saia,Outono,16.18,50,0,0.56,32,33
Sweater,Outono,85.25,0,0,0.31,76,50
Casaco,Outono,34.98,0,1,0.32,67,71
T-shirt,Inverno,125.05,20,0,0.35,17,13
Saia,Primavera,60.31,10,0,0.49,62,46
Casaco,Primavera,97.49,20,1,0.33,25,21
Sweater,Outono,125.7,30,1,0.65,55,83
Casaco,Outono,75.58,10,0,0.32,49,52
Vestido,Verão,99.19,0,1,0.43,71,94
Calças,Primavera,109.29,0,0,0.51,51,40
Saia,Outono,51.67,20,0,0.51,39,42
Calças,Verão,97.84,0,0,0.52,38,27
T-shirt,Verão,24.27,10,0,0.57,68,88
Sweater,Inverno,128.03,0,0,0.38,63,65
Casaco,Primavera,38.87,0,0,0.47,12,22
Casaco,Primavera,118.72,20,0,0.47,21,21
Saia,Verão,118.81,0,1,0.44,60,74
Calças,Outono,24.32,20,1,0.32,51,83
Vestido,Primavera,108.82,30,0,0.55,69,66
Sweater,Inverno,130.41,0,0,0.38,95,62
Casaco,Verão,43.72,0,1,0.23,12,1
Casaco,Outono,84.6,30,1,0.36,66,79
Casaco,Inverno,84.27,10,1,0.3,58,91
Saia,Verão,28.83,0,1,0.38,76,81
Calças,Verão,116.82,0,1,0.61,41,41
Calças,Primavera,105.87,0,1,0.21,56,53
T-shirt,Inverno,125.75,10,1,0.65,16,20
Vestido,Verão,127.44,0,0,0.46,101,71
Sweater,Primavera,53.48,10,0,0.38,19,16
Calças,Verão,87.16,20,0,0.34,37,38
Calças,Primavera,37.55,30,0,0.52,54,67
Vestido,Verão,78.8,20,1,0.24,63,111
Saia,Outono,96.71,20,0,0.31,24,24
T-shirt,Outono,10.95,0,0,0.65,32,32
Saia,Primavera,82.82,0,1,0.38,46,52
Saia,Primavera,106.46,10,0,0.2,64,48
Calças,Verão,70.93,30,0,0.59,47,47
Casaco,Verão,88.8,0,0,0.53,9,13
Vestido,Primavera,60.34,0,0,0.44,73,61
Saia,Inverno,23.57,10,1,0.56,14,7
Calças,Inverno,13.42,10,0,0.5,47,51
Casaco,Outono,139.0,50,0,0.48,49,70
T-shirt,Inverno,121.1,0,0,0.54,6,23
T-shirt,Outono,18.78,20,0,0.26,40,48
T-shirt,Primavera,95.23,0,0,0.21,70,58
Saia,Inverno,136.46,20,1,0.4,8,12
Saia,Primavera,127.09,20,1,0.51,46,63
Sweater,Inverno,43.64,0,0,0.54,97,73
Calças,Outono,47.89,0,0,0.38,51,53
Casaco,Outono,79.3,0,0,0.29,52,57
Sweater,Verão,96.72,20,0,0.55,9,13
Calças,Primavera,119.91,20,0,0.28,62,50
Sweater,Inverno,16.9,30,0,0.29,69,81
Sweater,Outono,32.2,20,0,0.31,68,68
Sweater,Primavera,120.58,10,0,0.27,33,21
Vestido,Verão,64.34,0,0,0.46,69,74
Vestido,Outono,129.36,0,0,0.64,19,23
Saia,Verão,145.74,20,0,0.23,61,63
Saia,Primavera,54.38,20,1,0.36,62,82
Calças,Outono,10.22,10,0,0.65,60,59
Vestido,Inverno,114.42,0,0,0.48,31,11
Vestido,Outono,148.02,0,0,0.29,27,24
Vestido,Inverno,67.95,0,0,0.49,19,6
Sweater,Verão,130.21,0,1,0.5,4,19
T-shirt,Inverno,29.83,10,0,0.63,24,16
Vestido,Primavera,45.37,10,0,0.33,46,61
Casaco,Inverno,33.95,30,1,0.24,89,118
Sweater,Primavera,44.71,30,1,0.52,28,30
Sweater,Verão,35.37,20,0,0.41,12,11
T-shirt,Primavera,131.68,10,0,0.62,72,57
T-shirt,Primavera,60.42,50,1,0.6,56,84
Saia,Verão,46.89,0,0,0.42,73,67
Calças,Inverno,107.67,10,0,0.48,60,43
Vestido,Primavera,90.78,0,0,0.33,94,75
Casaco,Primavera,27.86,30,0,0.35,26,27
Saia,Inverno,145.71,50,0,0.23,8,13
Calças,Outono,50.35,0,0,0.39,73,56
Vestido,Outono,21.09,10,0,0.29,24,29
Calças,Verão,130.55,0,0,0.28,36,32
Vestido,Outono,133.9,0,0,0.41,36,38
Vestido,Outono,30.3,20,0,0.49,10,16
Calças,Primavera,109.98,30,0,0.4,41,57
T-shirt,Verão,132.85,10,1,0.65,80,99
Casaco,Inverno,94.63,0,1,0.33,78,95
T-shirt,Verão,67.29,0,1,0.56,99,111
Vestido,Inverno,69.5,0,0,0.44,6,11
Casaco,Verão,39.92,0,0,0.3,3,1
Casaco,Outono,65.27,50,0,0.64,45,61
Calças,Verão,18.91,0,0,0.45,30,30
Vestido,Inverno,30.78,0,1,0.65,16,24
Calças,Inverno,68.32,10,0,0.47,43,35
T-shirt,Verão,97.85,20,0,0.54,111,98
Vestido,Inverno,99.28,10,1,0.57,27,27
Casaco,Primavera,141.96,20,0,0.5,9,30
Vestido,Inverno,122.9,10,1,0.33,5,15
Saia,Primavera,50.26,0,0,0.3,62,50
Casaco,Outono,77.3,30,1,0.54,51,77
Sweater,Verão,39.87,0,1,0.39,12,11
T-shirt,Inverno,33.01,20,1,0.26,15,22
Vestido,Verão,15.19,10,1,0.35,77,103
Calças,Verão,130.1,0,0,0.45,49,33
Saia,Outono,103.55,30,0,0.26,10,17
Calças,Inverno,80.95,0,0,0.54,45,42
Sweater,Inverno,127.79,10,1,0.22,58,81
Vestido,Verão,58.48,20,1,0.46,61,115
Saia,Inverno,148.99,0,0,0.6,1,14
Sweater,Inverno,46.7,0,0,0.52,91,70
Sweater,Primavera,16.88,10,1,0.31,30,35
T-shirt,Inverno,16.28,30,0,0.21,14,23
Saia,Outono,95.11,0,0,0.31,34,26
Vestido,Verão,126.58,0,0,0.51,81,75
Calças,Primavera,138.35,10,0,0.56,62,43
Saia,Verão,141.37,30,0,0.36,51,67
Casaco,Inverno,35.86,0,0,0.58,72,89
Sweater,Primavera,20.51,30,0,0.61,32,36
Vestido,Verão,99.32,10,0,0.64,99,81
Calças,Inverno,21.73,10,0,0.57,54,63
Vestido,Primavera,101.42,10,1,0.2,69,94
Vestido,Inverno,68.92,20,0,0.29,2,26
Casaco,Outono,145.01,0,0,0.56,53,39
Saia,Inverno,87.96,0,0,0.28,15,11
Calças,Verão,88.68,0,0,0.55,42,40
Saia,Primavera,118.52,20,0,0.28,69,62
T-shirt,Verão,21.15,10,0,0.35,90,100
Vestido,Primavera,100.82,10,0,0.21,82,68
Calças,Primavera,92.28,0,0,0.35,50,34
Saia,Primavera,146.88,0,1,0.61,51,67
Calças,Verão,57.68,0,0,0.42,36,28
T-shirt,Outono,17.32,0,0,0.25,46,38
Vestido,Outono,132.02,10,0,0.43,18,27
Saia,Outono,58.75,20,0,0.57,19,27
T-shirt,Verão,113.0,0,0,0.34,109,70
Vestido,Verão,65.61,10,1,0.43,93,105
Sweater,Inverno,90.58,50,1,0.3,66,117
Casaco,Inverno,80.61,10,0,0.43,57,85
Sweater,Outono,61.8,20,1,0.54,63,72
Saia,Verão,114.68,10,1,0.48,79,82
Saia,Verão,94.2,30,0,0.4,85,89
Calças,Inverno,83.18,0,0,0.28,44,30
Casaco,Outono,108.61,20,0,0.22,41,65
Vestido,Inverno,87.09,0,0,0.39,23,27
Calças,Inverno,141.48,0,0,0.51,57,33
Vestido,Verão,76.51,20,0,0.62,82,86
Saia,Inverno,98.61,10,0,0.23,6,13
Calças,Verão,124.56,10,0,0.5,27,30
Calças,Primavera,25.15,30,0,0.3,51,51
T-shirt,Primavera,49.99,0,1,0.21,41,66
Calças,Outono,121.71,10,0,0.39,54,47
Calças,Primavera,110.93,20,0,0.63,62,59
Casaco,Verão,132.53,10,0,0.27,9,13
Sweater,Primavera,87.68,20,0,0.48,23,15
Sweater,Inverno,120.58,10,0,0.38,66,75
Vestido,Inverno,82.92,10,0,0.25,4,19
Vestido,Verão,121.65,0,0,0.35,66,69
Sweater,Outono,81.89,0,0,0.4,52,43
Vestido,Inverno,66.26,20,1,0.3,10,29
Vestido,Primavera,46.76,0,1,0.4,69,76
Vestido,Outono,89.32,50,0,0.3,25,44
Sweater,Primavera,123.47,50,0,0.33,31,36
Saia,Inverno,124.21,30,1,0.49,29,11
Calças,Primavera,145.67,10,0,0.4,53,45
Vestido,Inverno,22.39,0,1,0.32,13,30
Sweater,Primavera,65.61,0,0,0.52,26,26
Vestido,Inverno,120.01,30,0,0.31,18,16
Vestido,Outono,20.41,50,1,0.28,24,35
T-shirt,Outono,84.22,0,0,0.52,45,39
Vestido,Inverno,107.14,30,0,0.37,22,19
T-shirt,Primavera,65.47,10,0,0.3,77,55
T-shirt,Inverno,92.03,0,1,0.28,29,26
Casaco,Inverno,80.72,10,1,0.56,77,98
Saia,Inverno,20.58,0,0,0.38,17,1
T-shirt,Outono,84.88,30,1,0.32,43,56
Saia,Outono,42.96,20,0,0.2,11,5
Vestido,Verão,35.25,20,0,0.34,61,86
Casaco,Primavera,93.53,0,1,0.22,20,20
Saia,Outono,117.82,0,1,0.2,8,36
Saia,Verão,14.25,50,0,0.45,57,91
Vestido,Primavera,102.63,50,0,0.46,74,86
Sweater,Verão,24.63,0,0,0.41,1,2
Casaco,Inverno,97.67,0,0,0.59,78,64
T-shirt,Primavera,57.84,20,0,0.53,43,62
Sweater,Primavera,106.59,30,0,0.61,25,25
Vestido,Inverno,32.43,0,1,0.25,33,20
Casaco,Inverno,109.46,0,1,0.46,102,85
Vestido,Verão,143.07,50,0,0.63,65,99
Vestido,Primavera,29.87,0,1,0.3,48,88
Sweater,Verão,45.58,10,1,0.57,5,1
Casaco,Inverno,34.13,0,1,0.63,60,84
